Page,Section,Rq_No,Function_name,Function description,Integration(If any)
Registration Page,,,,,
Customer Registration,Page Access Control,1.1.1,Guest Access Check,Allow only guest (non-logged-in) users to access registration page,"User doctype, Session management"
Customer Registration,Page Access Control,1.1.2,Redirect Logged Users,"IF user is already logged in, THEN redirect to /customer/dashboard",Session validation
Customer Registration,Registration Form Fields,1.2.1,Full Name Input,"Text field for customer's full name (required, min 2 characters)",CustomerProfile doctype
Customer Registration,Registration Form Fields,1.2.2,Email Input,"Email field with validation (required, unique, lowercase conversion)","User doctype, CustomerProfile doctype"
Customer Registration,Registration Form Fields,1.2.3,Password Input,"Password field with visibility toggle (required, min 6 characters)",User doctype (encrypted)
Customer Registration,Registration Form Fields,1.2.4,Password Toggle,Button to show/hide password text (eye icon toggle),Client-side only
Customer Registration,Social Login Options,1.3.1,Google OAuth,Disabled button with Coming Soon badge for Google sign-up,Google OAuth API (future)
Customer Registration,Social Login Options,1.3.2,Phone OTP,Disabled button with Coming Soon badge for phone OTP sign-up,SMS Gateway (future)
,,,,,
,,,,,
Profile setup Page,,,,,
Profile Setup,Personal Details,2.2.1,Full Name,"Text input (required, pre-filled from User.full_name)",CustomerProfile.customer_name
Profile Setup,Personal Details,2.2.2,Email Display,Read-only email field (from session user),CustomerProfile.email
Profile Setup,Personal Details,2.2.3,Phone Number,"Tel input (required, format: 10 digits)",CustomerProfile.phone_number
Profile Setup,Personal Details,2.2.4,Secondary Mobile,Tel input (optional),CustomerProfile.secondary_mobile
Profile Setup,Personal Details,2.2.5,Emergency Contact,Tel input (optional),CustomerProfile.emergency_contact
Profile Setup,Address Details,2.3.1,Address Line 1,"Textarea (required, primary address)",CustomerProfile.default_address
Profile Setup,Address Details,2.3.2,Address Line 2,"Text input (optional, apartment/building)",CustomerProfile.address_line_2
Profile Setup,Address Details,2.3.3,Landmark,Text input (optional),CustomerProfile.landmark
Profile Setup,Address Details,2.3.4,Pincode,"Text input (required, 6 digits)",CustomerProfile.pincode
Profile Setup,Address Details,2.3.5,City,Text input (required),CustomerProfile.city
Profile Setup,Address Details,2.3.6,State,Text input (required),CustomerProfile.state
Profile Setup,Location Detection,2.4.1,Get My Location,Button to detect current GPS location using browser geolocation API,Navigator.geolocation
Profile Setup,Location Detection,2.4.2,Reverse Geocoding,Convert lat/lng to address using Google Maps Geocoding API,google_maps.geocode_address API
Profile Setup,Location Detection,2.4.3,Auto-fill Address,Populate all address fields from geocoded result,CustomerProfile fields
Profile Setup,Location Detection,2.4.4,Store Coordinates,Save geo_latitude and geo_longitude in hidden fields,"CustomerProfile.geo_latitude, geo_longitude"
Profile Setup,Map Selection,2.5.1,Show Map Button,Open interactive Google Map in modal/container,Google Maps JavaScript API
Profile Setup,Map Selection,2.5.2,Map Initialization,"Load map centered at stored coordinates or default (Delhi: 28.6139, 77.2090)",Google Maps API
Profile Setup,Map Selection,2.5.3,Draggable Marker,Blue marker that user can drag to adjust location,Google Maps Marker
Profile Setup,Map Selection,2.5.4,Address Search,Autocomplete search box to find address (Google Places Autocomplete),Google Places API
Profile Setup,Map Selection,2.5.5,Manual Search,Search button to geocode typed address using forward_geocode API,google_maps.forward_geocode API
Profile Setup,Map Selection,2.5.6,Click to Place,Click anywhere on map to move marker,Google Maps click event
Profile Setup,Map Selection,2.5.7,Confirm Location,Button to save selected coordinates and reverse geocode to address,google_maps.geocode_address API
Profile Setup,Map Selection,2.5.8,Cancel Map,Button to close map without saving,UI state
Profile Setup,Vehicle Details,2.6.1,Vehicle Make,"Text input (required, e.g., Honda, Toyota)",CustomerVehicle.vehicle_make
Profile Setup,Vehicle Details,2.6.2,Vehicle Model,"Text input (required, e.g., City, Fortuner)",CustomerVehicle.vehicle_model
Profile Setup,Vehicle Details,2.6.3,Vehicle Number,"Text input (required, e.g., KA01AB1234)",CustomerVehicle.vehicle_number
