Page,Section,Rq_No,Function_name,Function description,Integration(If any),Extra1,Extra2,Extra3,Extra4,Extra5,Extra6
Configuration,,,,,
Config Module,Conversation States,1.1.1,ConversationState Enum,Define all possible conversation states in the chatbot,State machine management
Config Module,Default Settings,1.2.1,DEFAULT_SETTINGS,Configuration object with default bot settings,Global configuration
Config Module,Working Hours,1.3.1,WORKING_HOURS,Define working hours for the chatbot,Time-based restrictions
Config Module,Booking Settings,1.4.1,BOOKING_CONFIG,Configuration for booking flow parameters,Booking flow management
Config Module,Service Types,1.5.1,SERVICE_TYPES,Define available service types for the chatbot,Service selection
,,,,,
,,,,,
Models,,,,,
Pydantic Models,Validation Models,2.1.1,ValidatedCustomer,Pydantic model for validated customer data,Data validation
Pydantic Models,Validation Models,2.1.2,ValidatedVehicle,Pydantic model for validated vehicle data,Data validation
Pydantic Models,Validation Models,2.1.3,ValidatedAppointment,Pydantic model for validated appointment data,Data validation
Pydantic Models,Validation Models,2.1.4,ValidatedSentimentScores,Pydantic model for validated sentiment scores,Data validation
Pydantic Models,Validation Models,2.1.5,ValidatedIntent,Pydantic model for validated intent classification,Data validation
Pydantic Models,Validation Models,2.1.6,ValidatedConversationContext,Pydantic model for validated conversation context,Data validation
Pydantic Models,Validation Models,2.1.7,ExtractionMetadata,Pydantic model for extraction metadata,Data validation
Pydantic Models,Validation Models,2.1.8,ValidatedServiceRequest,Pydantic model for validated service request,Data validation
,,,,,
,,,,,
DSPy Signatures,Signature Definitions,3.1.1,SentimentAnalysisSignature,Signature for sentiment analysis task,LLM interaction
DSPy Signatures,Signature Definitions,3.1.2,NameExtractionSignature,Signature for name extraction task,LLM interaction
DSPy Signatures,Signature Definitions,3.1.3,VehicleExtractionSignature,Signature for vehicle extraction task,LLM interaction
DSPy Signatures,Signature Definitions,3.1.4,IntentClassificationSignature,Signature for intent classification task,LLM interaction
DSPy Signatures,Signature Definitions,3.1.5,DateExtractionSignature,Signature for date extraction task,LLM interaction
DSPy Signatures,Signature Definitions,3.1.6,AppointmentTimeSignature,Signature for appointment time extraction,LLM interaction
DSPy Signatures,Signature Definitions,3.1.7,TypoDetectionSignature,Signature for typo detection,LLM interaction
DSPy Signatures,Signature Definitions,3.1.8,ConfirmationSignature,Signature for confirmation generation,LLM interaction
,,,,,
,,,,,
DSPy Modules,Module Definitions,4.1.1,SentimentAnalyzer,Module for sentiment analysis using DSPy,LLM processing
DSPy Modules,Module Definitions,4.1.2,NameExtractor,Module for name extraction using DSPy,LLM processing
DSPy Modules,Module Definitions,4.1.3,VehicleDetailsExtractor,Module for vehicle details extraction using DSPy,LLM processing
DSPy Modules,Module Definitions,4.1.4,IntentClassifier,Module for intent classification using DSPy,LLM processing
DSPy Modules,Module Definitions,4.1.5,DateParser,Module for date parsing using DSPy,LLM processing
DSPy Modules,Module Definitions,4.1.6,TimeExtractor,Module for time extraction using DSPy,LLM processing
DSPy Modules,Module Definitions,4.1.7,TypoDetector,Module for typo detection using DSPy,LLM processing
DSPy Modules,Module Definitions,4.1.8,ConfirmationGenerator,Module for confirmation generation using DSPy,LLM processing
,,,,,
,,,,,
Data Extraction,Core Extraction,5.1.1,extract_customer_data,Main function to extract customer data using DSPy,LLM extraction process
Data Extraction,Fallback Functions,5.2.1,extract_name_with_regex,Fallback function for name extraction using regex,Regex extraction
Data Extraction,Fallback Functions,5.2.2,extract_vehicle_with_regex,Fallback function for vehicle extraction using regex,Regex extraction
Data Extraction,Fallback Functions,5.2.3,extract_date_with_regex,Fallback function for date extraction using regex,Regex extraction
Data Extraction,Validation Process,5.3.1,validate_extracted_data,Function to validate extracted data against Pydantic models,Data validation
Data Extraction,Error Handling,5.4.1,handle_extraction_errors,Function to handle extraction errors gracefully,Error handling
,,,,,
,,,,,
Sentiment Analysis,Analysis Process,6.1.1,analyze_sentiment,Main function to analyze sentiment using DSPy,LLM sentiment processing
Sentiment Analysis,Score Processing,6.2.1,process_sentiment_scores,Function to process and normalize sentiment scores,Score normalization
Sentiment Analysis,Threshold Logic,6.3.1,determine_sentiment_response,Function to determine response based on sentiment thresholds,Response logic
,,,,,
,,,,,
History Utilities,History Management,7.1.1,get_default_history,Function to get default conversation history,History initialization
History Utilities,History Management,7.1.2,create_dspy_history_from_dict,Function to create DSPy history from dictionary,History conversion
